No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
899,CBDK,Bangun Kosambi Sukses Tbk.,13 Jan 2025,5.668.944.500,Utama
900,OBAT,Brigit Biofarmaka Teknologi Tb,13 Jan 2025,680.376.575,Pengembangan
901,MINE,Sinar Terang Mandiri Tbk.,10 Mar 2025,4.084.435.300,Utama
902,ASPR,Asia Pramulia Tbk.,08 Jul 2025,2.712.000.000,Pengembangan
903,PSAT,Pancaran Samudera Transport Tb,08 Jul 2025,1.482.353.000,Utama
904,COIN,Indokripto Koin Semesta Tbk.,09 Jul 2025,14.705.882.400,Pengembangan
905,CDIA,Chandra Daya Investasi Tbk.,09 Jul 2025,124.829.374.700,Pengembangan
906,BLOG,Trimitra Trans Persada Tbk.,10 Jul 2025,3.379.487.200,Utama
907,MERI,Merry Riana Edukasi Tbk.,10 Jul 2025,1.035.132.500,Pengembangan
908,CHEK,Diastika Biotekindo Tbk.,10 Jul 2025,4.113.331.485,Pengembangan
909,PMUI,Prima Multi Usaha Indonesia Tb,10 Jul 2025,5.800.000.000,Pengembangan
910,EMAS,Merdeka Gold Resources Tbk.,23 Sep 2025,14.731.366.060,Pengembangan
911,PJHB,Pelayaran Jaya Hidup Baru Tbk.,06 Nov 2025,1.920.000.000,Pengembangan
912,RLCO,Abadi Lestari Indonesia Tbk.,08 Des 2025,3.125.000.000,Pengembangan
913,SUPA,Super Bank Indonesia Tbk.,17 Des 2025,33.558.047.450,Pengembangan
914,KAQI,Jantra Grupo Indonesia Tbk.,10 Mar 2025,2.075.800.000,Pengembangan
915,YUPI,Yupi Indo Jelly Gum Tbk.,25 Mar 2025,8.544.488.700,Utama
916,FORE,Fore Kopi Indonesia Tbk.,14 Apr 2025,8.918.359.270,Pengembangan
917,MDLA,Medela Potentia Tbk.,15 Apr 2025,14.012.825.000,Utama
918,DKHH,Cipta Sarana Medika Tbk.,08 Mei 2025,2.550.146.156,Pengembangan
919,AYLS,Agro Yasa Lestari Tbk.,12 Feb 2020,853.423.236,Pengembangan
920,DADA,Diamond Citra Propertindo Tbk.,14 Feb 2020,7.431.530.800,Pengembangan
921,ASPI,Andalan Sakti Primaindo Tbk.,17 Feb 2020,681.823.317,Pengembangan
922,ESTA,Esta Multi Usaha Tbk.,09 Mar 2020,2.425.354.179,Pengembangan
923,BESS,Batulicin Nusantara Maritim Tb,09 Mar 2020,3.440.455.528,Pengembangan
924,AMAN,Makmur Berkah Amanda Tbk.,13 Mar 2020,3.873.500.000,Pengembangan
925,CARE,Metro Healthcare Indonesia Tbk,13 Mar 2020,33.250.000.000,Pengembangan
926,PIPA,Multi Makmur Lemindo Tbk.,10 Apr 2023,3.426.097.190,Pengembangan
927,NCKL,Trimegah Bangun Persada Tbk.,12 Apr 2023,63.098.600.000,Utama
928,MENN,Menn Teknologi Indonesia Tbk.,18 Apr 2023,1.434.052.006,Pemantauan Khusus
929,AWAN,Era Digital Media Tbk.,18 Apr 2023,3.435.000.000,Pengembangan
930,MBMA,Merdeka Battery Materials Tbk.,18 Apr 2023,107.995.419.900,Utama
931,RAAM,Tripar Multivision Plus Tbk.,08 Mei 2023,6.813.620.000,Utama
932,DOOH,Era Media Sejahtera Tbk.,08 Mei 2023,7.738.891.036,Pengembangan
933,CGAS,Citra Nusantara Gemilang Tbk.,08 Jan 2024,1.771.499.039,Pengembangan
934,NICE,Adhi Kartiko Pratama Tbk.,09 Jan 2024,6.082.020.000,Pengembangan
935,MSJA,Multi Spunindo Jaya Tbk.,10 Jan 2024,5.882.352.900,Pengembangan
936,SMLE,Sinergi Multi Lestarindo Tbk.,10 Jan 2024,2.328.153.048,Pengembangan
937,ACRO,Samcro Hyosung Adilestari Tbk.,11 Jan 2024,3.469.345.537,Pengembangan
938,MANG,Manggung Polahraya Tbk.,11 Jan 2024,3.812.570.093,Akselerasi
939,WIFI,Solusi Sinergi Digital Tbk.,30 Des 2020,5.308.549.015,Pengembangan
940,FAPA,FAP Agri Tbk.,04 Jan 2021,3.629.411.800,Pengembangan
941,DCII,DCI Indonesia Tbk.,06 Jan 2021,2.383.745.900,Pengembangan
942,KETR,Ketrosden Triasmitra Tbk.,11 Jan 2021,2.841.262.838,Pengembangan
943,DGNS,Diagnos Laboratorium Utama Tbk,15 Jan 2021,1.250.000.000,Pengembangan
944,UFOE,Damai Sejahtera Abadi Tbk.,01 Feb 2021,2.898.261.693,Pengembangan
945,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,1.235.803.109,Pengembangan
946,ADMG,Polychem Indonesia Tbk,20 Okt 1993,3.889.179.559,Pengembangan
947,ADRO,Alamtri Resources Indonesia Tb,16 Jul 2008,29.389.689.400,Utama
948,AGII,Samator Indo Gas Tbk.,28 Sep 2016,3.066.660.000,Pengembangan
949,AGRO,Bank Raya Indonesia Tbk.,08 Agt 2003,24.493.093.216,Utama
950,AGRS,Bank IBK Indonesia Tbk.,22 Des 2014,47.367.057.874,Pengembangan
951,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,4.900.000.000,Pengembangan
952,AIMS,Artha Mahiya Investama Tbk.,20 Jul 2001,220.000.000,Pengembangan
953,PNSE,Pudjiadi & Sons Tbk.,01 Mei 1990,797.813.496,Pengembangan
954,POLY,Asia Pacific Fibers Tbk,12 Mar 1991,2.495.753.334,Pemantauan Khusus
955,POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2.341.366.264,Pemantauan Khusus
956,PPRO,PP Properti Tbk.,19 Mei 2015,61.675.671.883,Pemantauan Khusus
